id,code,name,parent_id/id,reconcile,account_type,tag_ids/id,chart_template_id/id
account_1001,1001,库存现金,,TRUE,asset_cash,,l10n_chart_china_standard_business_latest
account_1002,1002,银行存款,,TRUE,asset_cash,tag21,l10n_chart_china_standard_business_latest
account_1003,1003,存放中央银行款项,,TRUE,asset_current,tag21,l10n_chart_china_standard_business_latest
account_1011,1011,存放同业,,FALSE,asset_current,tag21,l10n_chart_china_standard_business_latest
account_1012,1012,其他货币资金,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1021,1021,结算备付金,,FALSE,asset_current,tag22,l10n_chart_china_standard_business_latest
account_1031,1031,存出保证金,,FALSE,asset_current,tag23,l10n_chart_china_standard_business_latest
account_1101,1101,交易性金融资产,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1111,1111,买入返售金融资产,,FALSE,asset_current,tag23,l10n_chart_china_standard_business_latest
account_1121,1121,应收票据,,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1122,1122,应收账款,,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1123,1123,预付账款,,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1124,1124,应收账款(PoS),,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1131,1131,应收股利,,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1132,1132,应收利息,,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1201,1201,应收代位追偿款,,FALSE,asset_current,tag24,l10n_chart_china_standard_business_latest
account_1211,1211,应收分保账款,,FALSE,asset_current,tag24,l10n_chart_china_standard_business_latest
account_1212,1212,应收分保合同准备金,,FALSE,asset_current,tag24,l10n_chart_china_standard_business_latest
account_1221,1221,其他应收款,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1231,1231,坏账准备,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1301,1301,贴现资产,,FALSE,asset_current,tag21,l10n_chart_china_standard_business_latest
account_1302,1302,拆出资金,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1303,1303,贷款,,FALSE,asset_current,tag25,l10n_chart_china_standard_business_latest
account_1304,1304,贷款损失准备,,FALSE,asset_current,tag25,l10n_chart_china_standard_business_latest
account_1311,1311,代理兑付证券,,FALSE,asset_current,tag29,l10n_chart_china_standard_business_latest
account_1321,1321,代理业务资产,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1401,1401,材料采购,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1402,1402,在途物资,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1403,1403,原材料,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1404,1404,材料成本差异,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1405,1405,库存商品,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1405_01,1405.01,其中：数据资源,account_1405,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1406,1406,发出商品,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1407,1407,商品进销差价,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1408,1408,委托加工物资,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1411,1411,周转材料,,FALSE,asset_non_current,,l10n_chart_china_standard_business_latest
account_1421,1421,消耗性生物资产,,FALSE,asset_non_current,tag26,l10n_chart_china_standard_business_latest
account_1431,1431,贵金属,,FALSE,asset_non_current,tag21,l10n_chart_china_standard_business_latest
account_1441,1441,抵债资产,,FALSE,asset_non_current,tag23,l10n_chart_china_standard_business_latest
account_1451,1451,损余物资,,FALSE,asset_non_current,tag24,l10n_chart_china_standard_business_latest
account_1461,1461,融资租赁资产,,FALSE,asset_non_current,tag27,l10n_chart_china_standard_business_latest
account_1471,1471,存货跌价准备,,FALSE,asset_non_current,,l10n_chart_china_standard_business_latest
account_1501,1501,持有至到期投资,,FALSE,asset_non_current,,l10n_chart_china_standard_business_latest
account_1502,1502,持有至到期投资减值准备,,FALSE,asset_non_current,,l10n_chart_china_standard_business_latest
account_1503,1503,可供出售金融资产,,FALSE,asset_non_current,,l10n_chart_china_standard_business_latest
account_1511,1511,长期股权投资,,FALSE,asset_non_current,,l10n_chart_china_standard_business_latest
account_1512,1512,长期股权投资减值准备,,FALSE,asset_non_current,,l10n_chart_china_standard_business_latest
account_1521,1521,投资性房地产,,FALSE,asset_non_current,,l10n_chart_china_standard_business_latest
account_1531,1531,长期应收款,,FALSE,asset_non_current,,l10n_chart_china_standard_business_latest
account_1532,1532,未实现融资收益,,FALSE,asset_non_current,,l10n_chart_china_standard_business_latest
account_1541,1541,存出资本保证金,,FALSE,asset_non_current,tag24,l10n_chart_china_standard_business_latest
account_1601,1601,固定资产,,FALSE,asset_fixed,,l10n_chart_china_standard_business_latest
account_1602,1602,累计折旧,,FALSE,asset_fixed,,l10n_chart_china_standard_business_latest
account_1603,1603,固定资产减值准备,,FALSE,asset_fixed,,l10n_chart_china_standard_business_latest
account_1604,1604,在建工程,,FALSE,asset_fixed,,l10n_chart_china_standard_business_latest
account_1605,1605,工程物资,,FALSE,asset_fixed,,l10n_chart_china_standard_business_latest
account_1606,1606,固定资产清理,,FALSE,asset_fixed,,l10n_chart_china_standard_business_latest
account_1611,1611,未担保余值,,FALSE,asset_current,tag27,l10n_chart_china_standard_business_latest
account_1621,1621,生产性生物资产,,FALSE,asset_current,tag26,l10n_chart_china_standard_business_latest
account_1622,1622,生产性生物资产累计折旧,,FALSE,asset_current,tag26,l10n_chart_china_standard_business_latest
account_1623,1623,公益性生物资产,,FALSE,asset_current,tag26,l10n_chart_china_standard_business_latest
account_1631,1631,油气资产,,FALSE,asset_current,tag28,l10n_chart_china_standard_business_latest
account_1632,1632,累计折耗,,FALSE,asset_current,tag28,l10n_chart_china_standard_business_latest
account_1701,1701,无形资产,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1701_01,1701.01,其中：数据资源,account_1701,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1702,1702,累计摊销,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1703,1703,无形资产减值准备,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1711,1711,商誉,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1801,1801,长期待摊费用,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1811,1811,递延所得税资产,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1821,1821,独立账户资产,,FALSE,asset_current,tag24,l10n_chart_china_standard_business_latest
account_1901,1901,待处理财产损溢,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_2001,2001,短期借款,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2002,2002,存入保证金,,FALSE,liability_current,tag23,l10n_chart_china_standard_business_latest
account_2003,2003,拆入资金,,FALSE,liability_current,tag23,l10n_chart_china_standard_business_latest
account_2004,2004,向中央银行借款,,FALSE,liability_current,tag21,l10n_chart_china_standard_business_latest
account_2011,2011,吸收存款,,FALSE,liability_current,tag21,l10n_chart_china_standard_business_latest
account_2012,2012,同业存放,,FALSE,liability_current,tag21,l10n_chart_china_standard_business_latest
account_2021,2021,贴现负债,,FALSE,liability_current,tag21,l10n_chart_china_standard_business_latest
account_2101,2101,交易性金融负债,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2111,2111,卖出回购金融资产款,,FALSE,liability_current,tag23,l10n_chart_china_standard_business_latest
account_2201,2201,应付票据,,TRUE,liability_payable,,l10n_chart_china_standard_business_latest
account_2202,2202,应付账款,,TRUE,liability_payable,,l10n_chart_china_standard_business_latest
account_2203,2203,预收账款,,TRUE,liability_payable,,l10n_chart_china_standard_business_latest
account_2211,2211,应付职工薪酬,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2221,2221,应交税费,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2221_1,2221.01,应交增值税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_1_1,2221.01.01,进项税额,account_2221_1,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_1_2,2221.01.02,已交税金,account_2221_1,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_1_3,2221.01.03,转出未交增值税,account_2221_1,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_1_4,2221.01.04,减免税款,account_2221_1,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_1_5,2221.01.05,销项税额,account_2221_1,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_1_6,2221.01.06,出口退税,account_2221_1,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_1_7,2221.01.07,进项税额转出,account_2221_1,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_1_8,2221.01.08,出口抵减内销产品应纳税额,account_2221_1,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_1_9,2221.01.09,转出多交增值税,account_2221_1,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_2,2221.02,未交增值税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_3,2221.03,应交营业税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_4,2221.04,应交消费税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_5,2221.05,应交资源税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_6,2221.06,应交所得税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_7,2221.07,应交土地增值税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_8,2221.08,应交城市维护建设税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_9,2221.09,应交房产税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_10,2221.10,应交土地使用税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_11,2221.11,应交车船使用税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2221_12,2221.12,应交个人所得税,account_2221,,liability_current,,l10n_chart_china_standard_business_latest
account_2231,2231,应付利息,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2232,2232,应付股利,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2241,2241,其他应付款,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2251,2251,应付保单红利,,FALSE,liability_current,tag24,l10n_chart_china_standard_business_latest
account_2261,2261,应付分保账款,,FALSE,liability_current,tag24,l10n_chart_china_standard_business_latest
account_2311,2311,代理买卖证券款,,FALSE,liability_current,tag22,l10n_chart_china_standard_business_latest
account_2312,2312,代理承销证券款,,FALSE,liability_current,tag29,l10n_chart_china_standard_business_latest
account_2313,2313,代理兑付证券款,,FALSE,liability_current,tag29,l10n_chart_china_standard_business_latest
account_2314,2314,代理业务负债,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2401,2401,递延收益,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2501,2501,长期借款,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2502,2502,应付债券,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2601,2601,未到期责任准备金,,FALSE,liability_current,tag24,l10n_chart_china_standard_business_latest
account_2602,2602,保险责任准备金,,FALSE,liability_current,tag24,l10n_chart_china_standard_business_latest
account_2611,2611,保户储金,,FALSE,liability_current,tag24,l10n_chart_china_standard_business_latest
account_2621,2621,独立账户负债,,FALSE,liability_current,tag24,l10n_chart_china_standard_business_latest
account_2701,2701,长期应付款,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2702,2702,未确认融资费用,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2711,2711,专项应付款,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2801,2801,预计负债,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_2901,2901,递延所得税负债,,FALSE,liability_current,,l10n_chart_china_standard_business_latest
account_3001,3001,清算资金往来,,FALSE,off_balance,tag21,l10n_chart_china_standard_business_latest
account_3002,3002,货币兑换,,FALSE,off_balance,tag23,l10n_chart_china_standard_business_latest
account_3101,3101,衍生工具,,FALSE,off_balance,,l10n_chart_china_standard_business_latest
account_3201,3201,套期工具,,FALSE,off_balance,,l10n_chart_china_standard_business_latest
account_3202,3202,被套期项目,,FALSE,off_balance,,l10n_chart_china_standard_business_latest
account_4001,4001,实收资本,,FALSE,equity,,l10n_chart_china_standard_business_latest
account_4002,4002,资本公积,,FALSE,equity,,l10n_chart_china_standard_business_latest
account_4101,4101,盈余公积,,FALSE,equity,,l10n_chart_china_standard_business_latest
account_4102,4102,一般风险准备,,FALSE,equity,tag23,l10n_chart_china_standard_business_latest
account_4103,4103,本年利润,,FALSE,equity,,l10n_chart_china_standard_business_latest
account_4104,4104,利润分配,,FALSE,equity,,l10n_chart_china_standard_business_latest
account_4201,4201,库存股,,FALSE,equity,,l10n_chart_china_standard_business_latest
account_5001,5001,生产成本,,FALSE,expense_direct_cost,,l10n_chart_china_standard_business_latest
account_5101,5101,制造费用,,FALSE,expense_direct_cost,,l10n_chart_china_standard_business_latest
account_5201,5201,劳务成本,,FALSE,expense_direct_cost,,l10n_chart_china_standard_business_latest
account_5301,5301,研发支出,,FALSE,expense_direct_cost,,l10n_chart_china_standard_business_latest
account_5301_01,5301.01,其中：数据资源,account_5301,FALSE,expense_direct_cost,,l10n_chart_china_standard_business_latest
account_5401,5401,工程施工,,FALSE,expense_direct_cost,tag30,l10n_chart_china_standard_business_latest
account_5402,5402,工程结算,,FALSE,expense_direct_cost,tag30,l10n_chart_china_standard_business_latest
account_5403,5403,机械作业,,FALSE,expense_direct_cost,tag30,l10n_chart_china_standard_business_latest
account_6001,6001,主营业务收入,,FALSE,income,,l10n_chart_china_standard_business_latest
account_6011,6011,利息收入,,FALSE,income,tag23,l10n_chart_china_standard_business_latest
account_6021,6021,手续费及佣金收入,,FALSE,income,tag23,l10n_chart_china_standard_business_latest
account_6031,6031,保费收入,,FALSE,income,tag24,l10n_chart_china_standard_business_latest
account_6041,6041,租赁收入,,FALSE,income,tag27,l10n_chart_china_standard_business_latest
account_6051,6051,其他业务收入,,FALSE,income,,l10n_chart_china_standard_business_latest
account_6061,6061,汇兑损益,,FALSE,income,tag23,l10n_chart_china_standard_business_latest
account_6101,6101,公允价值变动损益,,FALSE,income,,l10n_chart_china_standard_business_latest
account_6111,6111,投资收益,,FALSE,income,,l10n_chart_china_standard_business_latest
account_6201,6201,摊回保险责任准备金,,FALSE,expense,tag24,l10n_chart_china_standard_business_latest
account_6202,6202,摊回赔付支出,,FALSE,expense,tag24,l10n_chart_china_standard_business_latest
account_6203,6203,摊回分保费用,,FALSE,expense,tag24,l10n_chart_china_standard_business_latest
account_6301,6301,营业外收入,,FALSE,expense,,l10n_chart_china_standard_business_latest
account_6401,6401,主营业务成本,,FALSE,expense,,l10n_chart_china_standard_business_latest
account_6402,6402,其他业务成本,,FALSE,expense,,l10n_chart_china_standard_business_latest
account_6403,6403,税金及附加,,FALSE,expense,,l10n_chart_china_standard_business_latest
account_6411,6411,利息支出,,FALSE,expense,tag23,l10n_chart_china_standard_business_latest
account_6421,6421,手续费及佣金支出,,FALSE,expense,tag23,l10n_chart_china_standard_business_latest
account_6501,6501,提取未到期责任准备金,,FALSE,expense,tag24,l10n_chart_china_standard_business_latest
account_6502,6502,提取保险责任准备金,,FALSE,expense,tag24,l10n_chart_china_standard_business_latest
account_6511,6511,赔付支出,,FALSE,expense,tag24,l10n_chart_china_standard_business_latest
account_6521,6521,保户红利支出,,FALSE,expense,tag24,l10n_chart_china_standard_business_latest
account_6531,6531,退保金,,FALSE,expense,tag24,l10n_chart_china_standard_business_latest
account_6541,6541,分出保费,,FALSE,expense,tag24,l10n_chart_china_standard_business_latest
account_6542,6542,分保费用,,FALSE,expense,tag24,l10n_chart_china_standard_business_latest
account_6601,6601,销售费用,,FALSE,expense,,l10n_chart_china_standard_business_latest
account_6602,6602,管理费用,,FALSE,expense,,l10n_chart_china_standard_business_latest
account_6603,6603,财务费用,,FALSE,expense,,l10n_chart_china_standard_business_latest
account_6604,6604,勘探费用,,FALSE,expense,,l10n_chart_china_standard_business_latest
account_6701,6701,资产减值损失,,FALSE,expense,,l10n_chart_china_standard_business_latest
account_6711,6711,营业外支出,,FALSE,expense,,l10n_chart_china_standard_business_latest
account_6801,6801,所得税费用,,FALSE,expense,,l10n_chart_china_standard_business_latest
account_6901,6901,以前年度损益调整,,FALSE,expense,,l10n_chart_china_standard_business_latest
