"id","name","description","invoice_label","amount","amount_type","type_tax_use","price_include","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@zh_CN"
"l10n_cn_standard_sale_0","0%销项税","增值税销项税0%","0%","0","percent","sale","False","l10n_cn_tax_group_vat_0","base","invoice","","增值税销项税0%"
"","","","","","","","","","tax","invoice","account_2221_1_5",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_5",""
"l10n_cn_standard_purchase_0","0%进项税","增值税进项税0%","0%","0","percent","purchase","False","l10n_cn_tax_group_vat_0","base","invoice","","增值税进项税0%"
"","","","","","","","","","tax","invoice","account_2221_1_1",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_1",""
"l10n_cn_standard_sale_included_13","13%销项税(含)","增值税销项税13%(价内税)","13%","13.0","percent","sale","True","l10n_cn_tax_group_vat_13","base","invoice","","增值税销项税13%(价内税)"
"","","","","","","","","","tax","invoice","account_2221_1_5",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_5",""
"l10n_cn_standard_sale_included_10","10%销项税(含)","增值税销项税10%(价内税)","10%","10.0","percent","sale","True","l10n_cn_tax_group_vat_10","base","invoice","","增值税销项税10%(价内税)"
"","","","","","","","","","tax","invoice","account_2221_1_5",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_5",""
"l10n_cn_standard_sale_included_9","9%销项税(含)","增值税销项税9%(价内税)","9%","9.0","percent","sale","True","l10n_cn_tax_group_vat_9","base","invoice","","增值税销项税9%(价内税)"
"","","","","","","","","","tax","invoice","account_2221_1_5",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_5",""
"l10n_cn_standard_sale_included_6","6%销项税(含)","增值税销项税6%(价内税)","6%","6.0","percent","sale","True","l10n_cn_tax_group_vat_6","base","invoice","","增值税销项税6%(价内税)"
"","","","","","","","","","tax","invoice","account_2221_1_5",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_5",""
"l10n_cn_standard_sale_included_3","3%销项税(含)","增值税销项税3%(价内税)","3%","3.0","percent","sale","True","l10n_cn_tax_group_vat_3","base","invoice","","增值税销项税3%(价内税)"
"","","","","","","","","","tax","invoice","account_2221_1_5",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_5",""
"l10n_cn_standard_sale_excluded_13","13%销项税","增值税销项税13%(价外税)","13%","13.0","percent","sale","False","l10n_cn_tax_group_vat_13","base","invoice","","增值税销项税13%(价外税)"
"","","","","","","","","","tax","invoice","account_2221_1_5",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_5",""
"l10n_cn_standard_sale_excluded_10","10%销项税","增值税销项税10%(价外税)","10%","10.0","percent","sale","False","l10n_cn_tax_group_vat_10","base","invoice","","增值税销项税10%(价外税)"
"","","","","","","","","","tax","invoice","account_2221_1_5",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_5",""
"l10n_cn_standard_sale_excluded_9","9%销项税","增值税销项税9%(价外税)","9%","9.0","percent","sale","False","l10n_cn_tax_group_vat_9","base","invoice","","增值税销项税9%(价外税)"
"","","","","","","","","","tax","invoice","account_2221_1_5",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_5",""
"l10n_cn_standard_sale_excluded_6","6%销项税","增值税销项税6%(价外税)","6%","6.0","percent","sale","False","l10n_cn_tax_group_vat_6","base","invoice","","增值税销项税6%(价外税)"
"","","","","","","","","","tax","invoice","account_2221_1_5",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_5",""
"l10n_cn_standard_sale_excluded_3","3%销项税","增值税销项税3%(价外税)","3%","3.0","percent","sale","False","l10n_cn_tax_group_vat_3","base","invoice","","增值税销项税3%(价外税)"
"","","","","","","","","","tax","invoice","account_2221_1_5",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_5",""
"l10n_cn_standard_purchase_excluded_13","13%进项税","增值税进项税13%(价外税)","13%","13.0","percent","purchase","False","l10n_cn_tax_group_vat_13","base","invoice","","增值税进项税13%(价外税)"
"","","","","","","","","","tax","invoice","account_2221_1_1",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_1",""
"l10n_cn_standard_purchase_excluded_10","10%进项税","增值税进项税10%(价外税)","10%","10.0","percent","purchase","False","l10n_cn_tax_group_vat_10","base","invoice","","增值税进项税10%(价外税)"
"","","","","","","","","","tax","invoice","account_2221_1_1",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_1",""
"l10n_cn_standard_purchase_excluded_9","9%进项税","增值税进项税9%(价外税)","9%","9.0","percent","purchase","False","l10n_cn_tax_group_vat_9","base","invoice","","增值税进项税9%(价外税)"
"","","","","","","","","","tax","invoice","account_2221_1_1",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_1",""
"l10n_cn_standard_purchase_excluded_6","6%进项税","增值税进项税6%(价外税)","6%","6.0","percent","purchase","False","l10n_cn_tax_group_vat_6","base","invoice","","增值税进项税6%(价外税)"
"","","","","","","","","","tax","invoice","account_2221_1_1",""
"","","","","","","","","","base","refund","",""
"","","","","","","","","","tax","refund","account_2221_1_1",""